GRE_Score,TOEFL_Score,University_Rating,SOP,LOR,CGPA,Research,Chance_of_Admit
312,97,2,1.9,4.5,6.34,0,0.229
331,116,2,4.0,4.7,6.26,0,0.603
332,103,5,3.2,4.4,6.3,0,0.562
309,90,4,1.1,4.9,8.36,1,0.463
335,119,3,2.3,2.9,9.24,0,0.661
304,105,2,1.7,1.2,7.61,0,0.326
302,98,5,3.6,1.3,7.78,1,0.351
324,110,5,2.1,2.6,8.36,1,0.702
322,106,1,1.3,2.0,8.13,1,0.441
297,90,5,1.2,1.7,8.75,0,0.232
332,113,4,3.3,4.8,7.89,0,0.769
300,102,1,1.1,1.8,8.86,0,0.282
331,111,4,4.4,4.8,9.99,0,0.901
290,117,1,1.6,4.0,7.4,1,0.406
330,108,1,3.4,3.6,6.05,1,0.468
330,110,1,2.8,3.7,6.5,1,0.523
329,97,3,2.8,2.3,8.21,1,0.563
323,97,4,1.3,3.6,7.38,0,0.526
314,102,3,4.2,1.7,9.76,1,0.611
325,116,1,4.6,4.8,8.51,1,0.709
304,106,1,1.0,2.2,8.08,1,0.338
329,100,5,1.7,2.0,9.19,1,0.633
318,114,5,4.6,3.8,7.03,0,0.665
313,116,4,3.2,3.6,9.28,0,0.627
315,117,1,1.6,2.8,6.01,0,0.326
319,99,5,1.8,3.5,8.48,1,0.547
291,111,4,3.6,1.6,9.74,0,0.425
297,108,3,3.9,3.7,9.15,0,0.409
302,103,1,3.4,2.1,9.41,0,0.357
295,102,5,4.8,2.1,7.59,0,0.467
312,93,3,3.0,1.6,9.3,1,0.467
324,98,1,2.2,2.3,8.2,1,0.502
323,107,2,2.9,2.3,8.47,1,0.438
314,117,3,2.4,2.8,6.24,0,0.449
333,116,1,1.9,1.8,6.81,0,0.463
318,95,2,1.2,1.8,8.2,0,0.329
294,111,3,2.4,3.2,6.24,1,0.34
329,92,5,3.8,1.5,8.97,1,0.6
319,110,1,1.1,3.8,9.36,0,0.408
322,100,3,2.8,4.8,9.68,0,0.662
318,103,5,3.6,2.7,6.41,0,0.473
318,112,5,3.4,4.6,9.76,1,0.75
294,103,5,4.1,1.4,6.27,0,0.242
318,115,1,4.2,1.2,7.9,1,0.45
330,106,5,3.8,3.9,9.36,0,0.742
305,120,5,1.4,4.0,6.28,0,0.52
320,109,2,2.9,4.4,6.07,1,0.496
291,99,3,3.4,1.2,6.1,1,0.152
307,114,3,2.0,4.1,8.05,1,0.538
312,102,3,1.2,2.5,9.25,0,0.444
340,106,2,1.9,2.2,6.51,0,0.526
300,94,5,2.8,1.7,6.5,1,0.348
304,93,5,2.7,5.0,8.27,1,0.356
310,107,2,1.7,1.3,6.94,0,0.329
340,95,5,4.3,4.3,8.92,1,0.736
333,120,2,4.7,3.6,9.8,1,0.759
291,116,4,1.8,3.9,9.06,1,0.497
301,111,3,4.7,3.8,9.51,0,0.58
331,112,3,1.1,4.4,8.08,1,0.565
292,108,1,4.7,1.7,9.33,1,0.464
333,91,4,4.8,1.0,6.73,0,0.508
304,102,2,1.0,3.4,6.27,0,0.245
336,105,2,4.1,2.4,8.62,1,0.626
304,118,1,4.9,1.5,6.21,0,0.296
312,96,5,4.6,1.7,9.57,0,0.599
323,105,1,4.9,2.3,8.77,0,0.466
296,100,4,3.2,1.3,9.81,1,0.517
318,94,5,1.3,1.2,7.26,1,0.405
315,93,1,4.4,4.7,7.94,1,0.485
329,101,3,3.5,2.2,8.97,1,0.545
340,92,3,3.5,4.9,6.97,1,0.611
323,92,2,2.7,4.9,8.17,0,0.512
310,100,4,3.3,1.6,8.64,0,0.383
310,96,3,1.6,3.9,9.92,0,0.508
311,107,3,4.0,3.4,8.98,0,0.549
331,90,3,1.3,3.8,6.47,0,0.365
306,99,5,3.9,1.4,7.9,1,0.511
298,104,4,4.4,1.8,8.36,0,0.306
307,119,2,2.9,1.3,6.59,0,0.374
291,109,5,3.0,3.4,7.73,1,0.528
295,117,5,2.2,4.9,7.14,0,0.521
294,100,5,4.9,3.7,6.48,1,0.432
329,103,4,3.9,3.8,8.05,1,0.654
326,103,2,2.5,4.9,6.66,1,0.492
325,117,4,1.7,3.7,8.36,1,0.658
313,119,2,1.9,1.2,6.68,0,0.397
326,119,2,2.9,4.5,8.89,1,0.675
298,113,3,4.8,2.5,6.78,0,0.422
335,105,5,3.9,1.0,9.59,1,0.854
315,106,3,1.9,3.0,6.1,1,0.404
337,120,2,4.4,4.7,8.09,1,0.722
297,98,3,2.5,2.0,7.28,0,0.191
315,100,2,4.4,3.0,6.9,1,0.494
325,117,4,2.0,1.7,7.89,1,0.604
315,101,2,3.5,1.2,9.37,1,0.56
312,97,3,4.7,1.3,9.66,0,0.473
298,107,2,2.0,3.9,7.21,1,0.408
309,100,2,3.8,4.5,6.62,0,0.37
302,117,5,4.9,1.6,8.88,0,0.527
305,118,2,1.6,2.2,8.33,1,0.446
324,99,1,1.4,1.8,6.8,0,0.259
322,106,2,3.7,1.1,9.04,0,0.618
320,120,3,2.4,3.2,8.08,1,0.619
308,113,1,1.3,3.8,8.61,1,0.513
338,96,2,2.9,3.6,7.44,0,0.501
294,108,1,4.0,2.6,7.76,0,0.264
307,109,3,2.1,3.2,6.72,0,0.354
296,110,4,2.3,1.4,9.03,0,0.46
307,90,5,4.4,1.6,6.63,1,0.357
339,99,2,3.1,4.7,9.11,0,0.621
308,116,5,4.4,4.0,9.19,1,0.715
336,97,2,2.8,4.7,8.99,0,0.648
315,99,4,4.8,4.7,6.08,1,0.594
325,99,3,3.6,3.6,7.09,1,0.557
313,95,4,1.5,4.7,7.87,1,0.519
303,94,4,4.5,2.7,8.38,0,0.458
328,100,3,3.0,1.0,9.68,0,0.504
339,117,2,1.6,1.3,7.5,1,0.553
303,90,3,1.6,1.4,9.5,0,0.274
329,98,5,3.8,1.4,6.65,1,0.47
303,91,5,1.2,2.4,7.49,1,0.387
326,107,5,2.1,3.8,6.21,0,0.524
330,97,1,1.6,4.2,8.97,0,0.522
312,114,3,2.8,3.4,6.6,0,0.307
327,108,1,2.7,1.6,7.03,0,0.524
303,114,4,3.1,4.0,9.1,0,0.511
294,109,5,2.1,2.4,8.14,1,0.541
294,103,1,1.1,1.1,6.06,1,0.075
312,116,4,3.5,2.1,6.01,0,0.387
336,104,5,2.5,2.3,8.04,1,0.558
296,119,5,3.6,2.1,7.22,0,0.453
313,120,2,1.4,4.2,6.72,0,0.384
325,108,1,1.1,4.0,8.45,1,0.496
300,110,5,2.0,3.8,6.91,1,0.382
326,97,5,2.8,1.6,8.37,0,0.568
305,115,3,2.6,4.2,7.52,0,0.497
331,110,5,4.2,3.7,6.75,1,0.772
319,117,1,2.5,1.8,6.55,0,0.36
317,98,4,3.1,3.6,6.95,0,0.453
299,114,1,3.4,2.9,6.12,0,0.223
313,104,5,1.1,2.8,7.23,0,0.4
333,95,4,3.1,1.4,9.61,1,0.625
290,95,5,2.4,3.1,9.33,1,0.452
328,107,3,2.7,1.4,7.49,0,0.541
315,99,1,1.4,1.7,8.3,0,0.387
326,93,1,4.1,1.5,8.27,0,0.392
323,103,2,4.8,4.8,9.31,0,0.693
312,110,4,1.1,2.1,6.95,0,0.382
305,99,1,3.4,2.4,7.19,1,0.323
321,119,5,4.1,2.3,7.21,1,0.616
297,114,2,2.1,4.6,6.16,1,0.335
319,105,3,4.2,3.3,7.26,0,0.587
294,118,2,3.5,4.7,9.51,0,0.535
323,103,3,4.7,2.2,9.65,0,0.627
322,94,3,4.9,1.5,6.44,0,0.381
294,91,1,1.2,3.2,7.83,0,0.303
328,119,3,2.8,2.4,7.53,0,0.645
311,119,4,3.2,4.2,7.96,1,0.593
330,112,5,1.6,4.5,8.22,0,0.65
292,93,2,2.3,2.9,6.08,0,0.125
299,99,5,5.0,4.9,9.37,1,0.622
315,91,5,1.1,3.2,9.89,1,0.522
299,91,5,2.8,2.1,8.61,1,0.434
306,97,2,4.4,3.0,8.64,0,0.496
323,107,5,2.3,1.1,8.11,0,0.458
297,92,3,2.9,4.2,7.34,0,0.24
324,120,1,4.9,1.4,6.6,0,0.467
295,104,2,2.9,2.2,8.34,1,0.348
298,98,4,1.5,3.3,6.18,1,0.392
319,105,1,1.2,1.2,9.3,1,0.524
330,114,3,4.8,1.3,7.68,1,0.694
298,99,4,2.1,3.8,7.66,0,0.335
305,91,1,3.0,1.3,7.31,0,0.204
337,91,3,1.4,2.9,9.88,1,0.566
340,116,2,2.7,2.4,6.7,1,0.657
319,93,3,4.7,1.9,6.61,1,0.459
312,109,2,3.0,1.8,6.66,1,0.469
307,101,5,4.9,4.1,8.63,0,0.553
321,114,1,2.0,4.8,9.97,0,0.617
320,91,5,3.0,1.6,6.94,1,0.456
305,117,4,4.4,4.8,9.62,0,0.706
291,111,5,2.8,3.4,7.11,1,0.348
297,103,5,2.1,3.6,8.59,0,0.466
338,96,1,4.4,3.8,6.16,0,0.48
311,120,5,2.6,3.8,7.98,0,0.532
314,99,3,3.1,4.3,8.62,1,0.451
313,105,5,4.9,2.9,8.15,0,0.559
329,102,5,1.7,3.1,6.95,0,0.584
293,97,3,2.2,2.3,9.31,1,0.465
294,102,2,1.1,1.4,9.88,0,0.333
304,94,1,2.6,3.7,7.84,0,0.402
314,90,1,1.8,1.1,8.54,1,0.341
324,98,2,3.7,2.1,9.16,1,0.62
315,93,5,1.7,1.4,6.97,1,0.368
312,102,3,3.7,1.8,9.46,0,0.477
337,116,3,2.1,3.6,7.12,1,0.627
298,95,2,2.4,3.5,9.1,0,0.247
319,90,3,2.4,2.7,6.45,1,0.438
317,93,4,3.9,1.4,7.15,0,0.36
314,105,5,2.9,2.7,8.13,1,0.525
331,98,4,2.4,2.4,8.1,1,0.527
303,105,4,4.4,3.9,9.4,0,0.545
338,90,5,3.3,3.3,9.98,0,0.79
306,100,3,1.9,3.0,6.43,1,0.445
317,102,5,4.6,2.9,7.09,1,0.481
316,103,2,2.4,4.9,7.43,1,0.482
333,107,1,1.2,4.0,7.92,1,0.517
312,114,3,3.0,3.0,7.98,1,0.6
304,104,1,1.5,2.9,9.42,0,0.399
291,116,1,2.0,1.1,9.08,0,0.286
308,106,5,4.0,4.8,6.08,1,0.516
332,98,4,1.5,2.3,7.82,0,0.479
290,97,2,4.2,2.0,8.47,1,0.419
335,99,5,4.7,5.0,7.84,0,0.727
317,108,1,3.4,3.9,6.52,0,0.444
297,97,2,3.8,1.2,7.59,0,0.123
305,118,4,3.9,1.2,7.65,1,0.512
318,104,2,5.0,1.1,6.75,0,0.507
306,116,4,2.4,3.4,9.03,0,0.614
295,111,5,1.7,1.3,7.29,1,0.282
323,100,1,3.1,4.7,8.36,0,0.495
324,97,1,3.1,4.7,8.06,1,0.477
296,113,5,1.7,3.2,9.51,1,0.635
304,100,3,3.5,3.5,6.49,0,0.346
302,97,3,1.1,2.2,6.46,1,0.224
323,118,3,4.7,1.3,7.2,0,0.55
327,104,3,2.1,3.9,7.72,0,0.398
327,91,4,1.2,1.4,7.19,1,0.372
337,105,3,1.4,1.3,9.05,0,0.579
329,104,1,2.0,2.2,6.98,0,0.45
306,116,4,2.1,1.0,6.34,0,0.248
295,112,4,1.1,2.7,7.66,1,0.374
321,95,1,2.1,3.8,9.09,0,0.513
336,94,2,1.8,4.2,9.4,0,0.518
339,108,4,2.5,3.4,8.93,1,0.764
301,91,4,2.5,4.4,8.23,0,0.383
302,99,1,2.4,2.6,8.9,0,0.423
291,94,1,2.3,4.4,8.73,0,0.268
297,90,3,1.4,3.0,6.94,1,0.24
318,118,3,1.1,1.9,8.2,1,0.586
317,92,5,1.8,4.8,9.08,1,0.525
308,90,3,4.0,2.1,7.27,0,0.313
305,118,5,5.0,1.1,8.62,1,0.591
332,95,2,4.7,2.0,7.93,1,0.559
313,115,3,3.0,2.5,8.01,1,0.593
331,90,1,3.1,2.4,6.36,0,0.379
339,94,3,2.3,3.1,8.66,1,0.595
306,93,1,4.1,4.5,9.46,0,0.456
300,111,3,4.1,2.2,6.57,1,0.476
338,109,2,4.4,3.1,7.46,1,0.627
322,104,1,4.6,2.4,6.19,0,0.404
304,97,1,2.7,4.3,6.12,0,0.24
321,92,3,4.1,1.6,9.96,1,0.583
316,107,5,4.2,1.4,7.97,0,0.448
336,97,1,2.2,3.0,7.42,1,0.583
303,108,3,4.7,3.7,7.1,1,0.444
340,111,2,1.4,4.2,9.92,0,0.767
337,116,5,5.0,3.4,7.01,1,0.741
299,105,3,4.1,4.1,8.9,1,0.498
298,90,5,1.4,2.6,7.14,0,0.316
317,98,2,3.6,1.1,6.28,0,0.358
292,116,1,1.1,1.5,8.73,0,0.304
305,106,3,4.1,1.2,6.01,0,0.341
312,109,4,4.2,2.3,8.7,1,0.585
339,104,5,3.4,3.0,7.0,1,0.674
340,95,5,4.4,2.4,8.98,1,0.711
297,117,5,1.4,3.2,9.08,0,0.541
335,113,4,2.1,2.9,8.9,1,0.695
294,120,2,2.7,3.7,6.1,1,0.438
328,116,3,1.2,3.7,8.81,1,0.655
333,99,1,2.8,2.3,9.96,0,0.58
335,97,3,2.1,2.4,6.97,1,0.554
301,97,2,2.6,3.3,7.1,1,0.33
335,118,1,2.7,3.4,9.25,0,0.66
295,107,2,4.5,2.3,6.64,1,0.34
316,104,3,2.1,2.3,8.64,0,0.513
313,120,2,4.6,3.8,9.02,1,0.641
306,108,5,2.7,3.6,6.15,1,0.445
291,118,3,2.3,1.5,8.22,1,0.403
329,120,5,3.0,2.8,8.3,1,0.787
307,92,4,2.7,4.6,7.21,0,0.375
323,101,1,2.0,1.1,9.51,1,0.596
310,112,2,3.0,4.4,6.65,0,0.415
309,115,4,1.6,1.7,7.46,1,0.458
335,94,3,2.4,3.0,9.39,0,0.586
294,99,2,3.3,2.7,6.76,0,0.166
327,106,3,2.7,1.0,9.29,1,0.557
328,114,5,4.3,4.7,6.32,0,0.612
309,93,2,2.0,2.8,7.96,1,0.429
303,108,1,4.9,4.8,6.3,1,0.424
290,99,2,4.1,2.1,8.71,0,0.286
337,96,5,4.9,4.5,9.16,0,0.816
338,105,4,4.4,4.7,9.4,1,0.913
302,102,5,1.6,3.2,9.93,1,0.611
291,109,5,3.1,1.8,8.69,0,0.365
296,99,1,1.7,3.7,9.08,1,0.345
293,115,2,4.3,3.2,8.02,1,0.547
332,92,1,3.3,4.8,9.65,0,0.609
335,116,1,2.1,2.8,8.58,1,0.638
297,90,5,4.7,2.1,9.53,1,0.524
328,112,5,1.5,1.6,6.94,0,0.563
299,100,1,3.3,3.8,7.99,1,0.352
308,101,4,3.9,4.9,8.92,1,0.615
320,90,3,1.2,1.1,6.81,1,0.374
326,111,1,3.4,4.0,6.85,0,0.44
334,95,5,4.3,4.7,9.91,0,0.76
292,110,5,1.3,1.3,7.74,0,0.258
300,112,3,3.0,1.4,6.73,1,0.317
304,116,4,2.0,3.8,7.33,1,0.472
305,111,2,3.7,3.6,7.59,0,0.456
340,99,4,1.5,1.3,8.49,1,0.598
329,112,3,4.7,4.3,9.69,1,0.771
306,115,5,4.6,3.1,9.95,0,0.664
339,99,1,1.7,4.6,8.61,0,0.52
315,93,1,2.3,4.5,8.8,0,0.446
315,117,5,3.4,4.3,7.29,1,0.699
312,94,2,3.9,3.1,9.43,0,0.47
297,108,2,2.8,2.0,6.87,1,0.31
337,97,4,1.6,3.0,6.43,1,0.547
290,93,1,1.4,1.4,9.89,1,0.178
298,114,3,5.0,3.6,9.46,0,0.583
301,94,2,2.8,1.5,7.21,1,0.434
304,110,1,4.5,3.0,8.7,0,0.45
296,111,5,2.9,1.2,7.87,0,0.381
290,91,1,4.7,2.2,7.29,0,0.229
324,95,1,1.4,1.9,7.15,1,0.451
339,114,4,1.5,3.5,6.54,1,0.69
296,105,5,4.7,4.1,8.2,0,0.383
305,93,1,4.8,1.2,7.79,0,0.323
315,120,4,2.3,4.4,8.05,1,0.774
337,98,3,2.4,4.4,6.86,1,0.616
325,90,5,2.8,2.4,9.75,0,0.52
329,118,1,2.7,3.6,8.55,0,0.623
319,90,5,1.8,2.6,9.6,1,0.5
311,107,4,4.6,1.6,6.44,1,0.525
300,120,5,2.0,3.1,8.49,0,0.464
334,107,2,3.8,1.3,9.4,1,0.675
331,108,5,1.3,4.5,7.32,1,0.604
291,102,4,1.2,4.7,6.78,0,0.25
326,93,1,3.6,4.3,7.06,1,0.556
294,107,5,2.4,3.3,7.09,1,0.411
327,117,4,3.6,3.2,7.79,0,0.614
332,92,2,1.4,4.9,7.3,0,0.402
296,117,3,4.8,2.0,7.09,0,0.302
312,102,2,4.0,1.3,8.59,0,0.366
296,106,3,4.5,3.2,6.21,1,0.375
318,95,5,1.5,2.3,7.36,1,0.505
337,109,5,2.3,2.3,8.76,1,0.702
294,95,2,2.5,1.0,6.7,1,0.275
310,98,5,3.1,3.4,6.88,0,0.381
339,112,3,2.2,2.1,6.8,1,0.59
305,91,4,1.2,1.8,6.0,0,0.141
296,103,4,2.5,1.2,7.9,0,0.363
314,108,3,2.0,2.5,6.16,0,0.459
315,94,3,2.5,4.5,7.09,1,0.361
323,99,3,1.8,2.3,9.98,1,0.577
306,100,5,2.0,3.7,9.67,0,0.585
338,110,2,3.5,4.0,6.86,1,0.571
316,120,2,2.6,2.3,7.24,1,0.544
304,115,2,2.4,4.3,7.85,0,0.505
338,95,1,3.1,3.8,9.38,1,0.658
337,90,2,4.1,3.2,9.21,1,0.678
315,91,1,2.5,1.0,6.5,0,0.306
291,108,1,3.4,1.1,6.5,1,0.331
320,94,4,4.9,5.0,7.67,1,0.603
318,97,1,3.1,4.1,9.48,1,0.53
297,116,3,4.6,4.8,9.53,0,0.538
322,117,4,4.2,4.6,6.43,0,0.642
332,116,4,1.2,1.1,8.3,1,0.561
295,97,3,2.7,4.2,6.62,0,0.256
326,109,1,3.8,2.8,8.74,0,0.568
297,108,5,4.9,4.2,9.67,0,0.568
328,95,5,2.8,1.0,7.82,1,0.553
311,107,4,1.4,2.2,6.33,0,0.471
290,106,1,3.2,4.0,8.32,1,0.37
339,102,1,1.5,4.2,7.63,0,0.506
298,113,2,4.0,3.5,9.24,0,0.538
320,111,1,3.0,2.2,7.36,0,0.445
299,106,5,3.9,2.2,9.5,1,0.633
337,112,2,4.5,4.9,7.09,0,0.665
327,113,2,3.5,2.8,6.63,0,0.489
331,107,5,3.4,2.8,7.23,1,0.558
312,98,5,4.0,3.2,6.14,1,0.378
313,113,2,4.4,2.6,7.12,0,0.367
322,112,2,4.5,3.2,8.64,0,0.62
330,120,3,1.1,2.7,6.57,1,0.495
333,94,4,3.2,4.3,6.45,0,0.576
290,102,5,1.9,4.6,6.53,0,0.301
323,118,5,4.4,4.7,6.31,0,0.619
295,105,5,3.6,3.3,9.5,1,0.51
304,119,1,2.7,2.8,9.78,0,0.537
332,90,2,1.8,3.8,6.19,0,0.336
302,91,3,2.4,4.4,9.04,0,0.35
330,114,1,3.8,3.3,8.95,1,0.744
313,101,2,1.8,3.8,9.99,1,0.575
301,106,1,1.4,4.0,7.39,1,0.339
307,103,5,4.6,3.7,7.14,0,0.514
317,102,1,4.1,4.0,7.81,0,0.465
329,119,1,1.8,1.8,9.43,0,0.61
320,92,1,2.2,3.0,8.91,1,0.425
337,113,1,4.9,3.4,7.89,1,0.803
334,117,3,3.8,1.0,6.98,0,0.539
328,110,2,3.4,4.4,8.91,1,0.771
320,102,5,2.2,3.4,9.42,1,0.642
304,94,2,2.2,1.5,7.6,1,0.342
311,111,3,1.2,4.3,8.67,0,0.539
296,104,4,3.9,3.9,7.6,1,0.513
309,94,4,1.2,4.0,7.91,0,0.342
337,101,4,1.0,2.6,8.1,0,0.611
311,119,2,3.9,4.4,9.1,0,0.701
295,98,3,4.8,2.7,9.91,1,0.49
323,95,5,4.0,3.3,7.78,1,0.596
339,111,5,2.9,1.0,7.37,0,0.589
334,96,4,2.9,3.6,7.49,0,0.539
303,118,4,2.7,3.9,6.54,1,0.571
313,116,5,2.3,3.3,7.19,1,0.517
317,120,4,3.1,3.0,6.35,0,0.46
302,118,5,2.7,4.2,7.71,0,0.601
303,97,1,3.4,3.7,6.67,0,0.305
302,96,2,4.6,2.1,7.39,0,0.42
340,100,1,5.0,4.8,9.17,1,0.731
328,104,1,1.3,3.8,6.98,0,0.431
332,117,3,2.5,5.0,8.45,1,0.714
331,112,2,1.7,4.9,9.6,1,0.733
338,109,3,2.4,4.7,8.27,1,0.635
295,117,3,2.1,4.0,6.78,1,0.441
334,110,4,1.7,3.4,7.38,0,0.602
293,101,5,4.1,1.7,8.36,0,0.383
314,102,5,3.0,3.2,8.03,1,0.541
320,106,2,4.7,4.1,6.59,1,0.49
308,92,2,1.1,3.1,7.79,1,0.374
297,112,4,1.3,4.5,8.17,0,0.372
299,110,1,2.6,1.4,7.07,1,0.333
332,112,3,1.3,2.5,8.45,0,0.683
306,106,3,2.1,3.0,6.28,0,0.392
305,114,1,4.9,2.7,7.35,1,0.392
337,119,4,1.8,1.4,9.22,0,0.666
297,107,2,1.8,1.6,7.04,0,0.26
336,103,1,3.3,4.4,8.42,0,0.601
336,93,4,3.0,2.9,7.64,0,0.476
320,114,1,3.3,1.2,7.27,1,0.495
298,118,4,2.5,1.1,9.66,1,0.535
297,111,1,4.3,2.9,7.37,1,0.491
304,116,3,1.6,1.7,6.95,0,0.331
319,116,5,2.7,3.8,9.64,1,0.807
297,114,2,3.8,4.2,8.98,1,0.473
313,105,4,4.5,1.9,8.73,0,0.483
295,93,4,2.5,3.4,6.2,1,0.314
317,90,5,3.3,1.6,6.52,1,0.465
291,96,1,1.3,2.2,8.55,1,0.203
326,103,4,1.7,4.6,6.84,1,0.557
292,113,5,1.3,3.2,6.9,1,0.315
299,104,4,3.9,4.5,9.12,1,0.556
298,90,1,2.2,1.9,7.14,1,0.249
332,96,5,3.9,2.3,6.29,1,0.53
292,120,1,1.3,2.9,6.15,0,0.212
311,120,3,4.5,2.9,7.77,1,0.543
320,101,3,4.3,5.0,8.47,1,0.609
316,114,3,1.4,1.5,9.48,0,0.61
324,112,3,1.1,4.4,6.44,1,0.527
330,118,1,1.2,4.5,6.79,1,0.512
310,117,3,4.4,3.2,8.12,1,0.585
332,109,5,1.9,2.4,7.46,1,0.548
306,102,3,3.2,3.1,7.93,0,0.359
340,109,2,2.7,2.2,9.7,1,0.796
315,99,5,4.2,4.2,8.18,1,0.607
327,100,1,3.0,3.0,7.66,0,0.55
334,108,3,3.0,4.7,9.96,1,0.79
330,107,3,5.0,3.5,6.26,0,0.549
333,108,3,1.6,3.1,9.73,0,0.684
317,101,5,4.3,3.8,8.01,1,0.486
292,102,3,1.2,3.0,8.02,1,0.338
315,90,5,2.9,4.6,9.69,1,0.62
299,108,1,4.5,1.7,8.03,0,0.425
335,107,4,3.7,4.9,7.75,1,0.781
302,118,3,3.7,4.2,7.09,0,0.407
301,105,2,2.1,4.4,8.64,1,0.523
302,104,2,2.7,2.9,8.28,1,0.408
322,92,4,2.5,4.3,6.86,1,0.445
319,96,4,3.1,2.2,8.84,0,0.513
338,100,4,2.8,4.0,8.58,1,0.702
311,101,1,2.3,1.6,7.59,0,0.385
304,101,3,2.2,2.2,6.02,1,0.317
292,102,5,2.0,2.8,7.79,0,0.342
290,113,1,2.5,2.3,6.02,1,0.281
309,94,3,1.6,2.5,6.3,0,0.306
337,100,3,4.5,4.3,7.72,1,0.727
316,95,5,3.4,2.0,6.33,1,0.503
335,99,2,1.5,4.0,7.1,0,0.513
